n,s_n,term,width,height,aspect,left,right,bottom,top
68,5.532085631,0.450058403382,5.196186764,5.532085631,0.939281694,1,1,1,2
69,5.519534550,0.441525531120,5.492307580,5.519534550,0.995067162,1,1,2,1
70,5.624443733,0.451919532958,5.593047961,5.624443733,0.994417977,1,1,1,2
71,5.644532296,0.448742885119,5.620139663,5.644532296,0.995678538,1,1,2,1
72,5.668802516,0.446323916197,5.595874352,5.668802516,0.987135173,1,1,2,1
73,5.679619596,0.441891489737,5.630312454,5.679619596,0.991318584,1,1,2,1
74,5.722195084,0.442479953851,5.534804912,5.722195084,0.967252048,1,1,2,1
75,5.752329799,0.441190641592,5.630372504,5.752329799,0.978798626,1,1,1,2
76,5.730137555,0.432032584267,5.730137555,5.730090598,1.000008195,1,1,1,1
77,5.805142331,0.437658149099,5.760038962,5.805142331,0.992230446,1,1,1,2
78,5.805082088,0.432038180157,5.798081845,5.805082088,0.998794118,1,1,3,5
79,5.805082088,0.426569342433,5.798081845,5.805082088,0.998794118,1,1,4,5
80,5.805082088,0.421237225653,5.798081845,5.805082088,0.998794118,1,1,5,5
81,5.806615537,0.416256592483,5.804773298,5.806615537,0.999682734,1,1,2,1
82,5.830568702,0.414579651062,5.829986150,5.830568702,0.999900087,1,1,1,1
83,5.865009114,0.414437733833,5.865009114,5.864351414,1.000112152,1,1,1,1
84,5.888796882,0.412832484692,5.811863666,5.888796882,0.986935665,1,1,1,2
85,6.068685082,0.433281630908,6.010009970,6.068685082,0.990331495,1,1,1,2
86,6.007293847,0.419623015861,5.928169618,6.007293847,0.986828640,1,1,2,1
87,6.180492587,0.439063087529,5.839631891,6.180492587,0.944848944,1,1,1,2
88,6.218344162,0.439406865011,5.857791841,6.218344162,0.942017953,1,1,1,2
89,6.265972192,0.441150646170,5.929208065,6.265972192,0.946255088,1,1,1,2
90,6.305941886,0.441832256273,6.296086197,6.305941886,0.998437079,1,1,2,1
91,6.321463761,0.439130814119,6.321463761,6.321363839,1.000015807,1,1,1,2
92,6.292444828,0.430378933879,6.290998546,6.292444828,0.999770156,1,1,1,1
93,6.290386681,0.425472737663,6.290386681,6.290239654,1.000023374,1,1,1,1
94,6.358883634,0.430163841245,6.328628316,6.358883634,0.995242039,1,1,2,1
95,6.351871373,0.424697578331,6.351830289,6.351871373,0.999993532,1,1,1,2
96,6.375738774,0.423437967891,6.360504661,6.375738774,0.997610612,1,1,4,2
97,6.358306449,0.416784133021,6.342017972,6.358306449,0.997438237,1,1,1,2
98,6.375738774,0.414796376710,6.360504661,6.375738774,0.997610612,1,1,5,4
99,6.375738775,0.410606514448,6.340324996,6.375738775,0.994445541,1,1,4,3
100,6.445954003,0.415503230027,6.445954003,6.445226549,1.000112867,1,1,1,1
101,6.578418061,0.428471130574,6.544131678,6.578418061,0.994788050,1,1,2,1
102,6.605482088,0.427768564894,6.601532757,6.605482088,0.999402113,1,1,3,2
103,6.605489740,0.423616453468,6.602880645,6.605489740,0.999605011,1,1,1,2
104,6.605518391,0.419546857867,6.598668459,6.605518391,0.998962998,1,1,3,1
105,6.605451141,0.415542712195,6.596357234,6.605451141,0.998623272,1,1,1,4
106,6.605482088,0.411626354898,6.603607795,6.605482088,0.999716252,1,1,1,5
107,6.605482134,0.407779385298,6.604527113,6.605482134,0.999855420,1,1,7,1
108,6.605888087,0.404053309466,6.602767372,6.605888087,0.999527586,1,1,1,6
109,6.719272473,0.414207546451,6.641245440,6.719272473,0.988387577,1,1,2,1
110,6.723924763,0.411010583798,6.711288935,6.723924763,0.998120766,1,1,2,1
111,6.794109361,0.415855153201,6.714091071,6.794109361,0.988222402,1,1,1,2
112,6.869108918,0.421291583310,6.628999136,6.869108918,0.965044988,1,1,1,2
113,6.932387923,0.425292055869,6.811493118,6.932387923,0.982560871,1,1,1,2
114,6.955876650,0.424422982155,6.876870827,6.955876650,0.988641860,1,1,1,2
115,7.003904514,0.426562421259,7.003783512,7.003904514,0.999982724,1,1,1,1
116,7.006973062,0.423255788744,7.006973062,7.006720014,1.000036115,1,1,1,1
117,7.007687673,0.419723816482,7.006386826,7.007687673,0.999814369,1,1,2,1
118,7.023035789,0.417991794045,7.006803295,7.023035789,0.997688678,1,1,1,2
119,7.029402624,0.415231102982,7.009493537,7.029402624,0.997167741,1,1,1,2
120,7.034796686,0.412403036809,7.029041859,7.034796686,0.999181948,1,1,1,2
121,7.035530298,0.409080054312,7.028783581,7.035530298,0.999041051,1,1,1,2
122,7.040172932,0.406262581216,7.024732458,7.040172932,0.997806805,1,1,1,2
123,7.039869242,0.402924869446,7.039272489,7.039869242,0.999915232,1,1,1,1
124,7.055829690,0.401489779170,7.054635453,7.055829690,0.999830745,1,1,1,1
125,7.120098471,0.405566417925,7.080967129,7.120098471,0.994504101,1,1,1,2
126,7.305738953,0.423601759096,7.305738953,7.304671897,1.000146079,1,1,1,1
127,7.375852795,0.428371688583,7.327562709,7.375852795,0.993452949,1,1,1,2
128,7.378503162,0.425330538324,7.326996779,7.378503162,0.993019400,1,1,1,2
129,7.405882088,0.425171236482,7.405732976,7.405882088,0.999979866,1,1,5,3
130,7.405882088,0.421900688509,7.405732976,7.405882088,0.999979866,1,1,6,3
131,7.405884045,0.418680293846,7.401934902,7.405884045,0.999466756,1,1,1,2
132,7.405884583,0.415508533780,7.405735724,7.405884583,0.999979900,1,1,1,2
133,7.405882088,0.412384131626,7.405732976,7.405882088,0.999979866,1,1,5,3
134,7.405882088,0.409306638106,7.375775563,7.405882088,0.995934782,1,1,6,7
135,7.405882088,0.406274737083,7.375775563,7.405882088,0.995934782,1,1,6,7
136,7.432307533,0.406170553437,7.432307533,7.431916953,1.000052554,1,1,1,1
137,7.439538721,0.403990776461,7.420238227,7.439538721,0.997405687,1,1,1,2
138,7.469443945,0.404294151032,7.448482318,7.469443945,0.997193683,1,1,1,2
139,7.530097865,0.407930747136,7.413439236,7.530097865,0.984507688,1,1,2,1
140,7.619777957,0.414721543645,7.442834305,7.619777957,0.976778372,1,1,1,2
141,7.623586472,0.412191990726,7.448645247,7.623586472,0.977052635,1,1,2,1
142,7.629866492,0.409963821728,7.411157209,7.629866492,0.971335110,1,1,2,1
143,7.672861687,0.411697947300,7.508768920,7.672861687,0.978613877,1,1,1,2
